activity_name,instruction
adding_chemicals_to_hot_tub,Add chemicals to the hot tub.
adding_chemicals_to_lawn,Add chemicals to the lawn.
adding_chemicals_to_pool,Add chemicals to the pool.
adding_fabric_softener,Add fabric softener.
applying_pesticides,Apply pesticides.
assembling_furniture,Assemble furniture.
assembling_gift_baskets,Assemble gift baskets.
attach_a_camera_to_a_tripod,Attach a camera to a tripod.
bag_groceries,Bag groceries.
baking_cookies_for_the_PTA_bake_sale,Bake cookies for the PTA bake sale.
baking_sugar_cookies,Bake sugar cookies.
boil_water,Boil water.
boil_water_in_the_microwave,Boil water in the microwave.
bottling_wine,Bottle wine.
boxing_books_up_for_storage,Box books up for storage.
boxing_food_after_dinner,Box food after dinner.
brewing_coffee,Brew coffee.
bringing_glass_to_recycling,Bring glass to the recycling center.
bringing_in_kindling,Bring in kindling.
bringing_in_mail,Bring in mail.
bringing_in_wood,Bring in wood.
bringing_laundry,Bring laundry.
bringing_newspaper_in,Bring newspaper in.
bringing_paper_to_recycling,Bring paper to the recycling center.
bringing_water,Bring water.
brushing_lint_off_clothing,Brushing lint off clothing.
buy_a_air_conditioner,Buy an air conditioner.
buy_a_belt,Buy a belt.
buy_a_good_avocado,Buy a good avocado.
buy_a_keg,Buy a keg.
buy_alcohol,Buy alcohol.
buy_and_clean_mussels,Buy and clean mussels.
buy_basic_garden_tools,Buy basic garden tools.
buy_boxes_for_packing,Buy boxes for packing.
buy_candle_making_supplies,Buy candle making supplies.
buy_dog_food,Buy dog food.
buy_eggs,Buy eggs.
buy_fish,Buy fish.
buy_food_for_a_party,Buy food for a party.
buy_food_for_camping,Buy food for camping.
buy_good_chocolate,Buy good chocolate.
buy_home_use_medical_supplies,Buy home use medical supplies.
buy_meat_from_a_butcher,Buy meat from a butcher.
buy_mulch,Buy mulch.
buy_natural_beef,Buy natural beef.
buy_natural_supplements,Buy natural supplements.
buy_pet_food_for_less,Buy pet food for less.
buy_rechargeable_batteries,Buy rechargeable batteries.
buy_salad_greens,Buy salad greens.
buy_school_supplies,Buy school supplies.
buy_school_supplies_for_high_school,Buy school supplies for high school.
buy_used_gardening_equipment,Buy used gardening equipment.
buying_cleaning_supplies,Buy cleaning supplies.
buying_everyday_consumer_goods,Buy everyday consumer goods.
buying_fast_food,Buy fast food.
buying_gardening_supplies,Buy gardening supplies.
buying_groceries,Buy groceries.
buying_groceries_for_a_feast,Buy groceries for a feast.
buying_office_supplies,Buy office supplies.
buying_postage_stamps,Buy postage stamps.
can_beans,Can beans.
can_fruit,Can fruit.
can_meat,Can meat.
can_syrup,Can syrup.
can_vegetables,Can vegetables.
canning_food,Can food.
carrying_in_groceries,Carry in groceries.
carrying_out_garden_furniture,Carry out garden furniture.
carrying_water,Carry water.
changing_bulbs,Change bulbs.
changing_dogs_water,Change dog's water.
changing_light_bulbs,Change light bulbs.
changing_sheets,Change sheets.
chlorinating_the_pool,Chlorinate the pool.
chop_an_onion,Chop an onion.
chopping_wood,Chop wood.
clean_a_LED_screen,Clean an LED screen.
clean_a_air_conditioner,Clean an air conditioner.
clean_a_backpack,Clean a backpack.
clean_a_baking_stone,Clean a baking stone.
clean_a_baseball_glove,Clean a baseball glove.
clean_a_beer_keg,Clean a beer keg.
clean_a_bicycle_chain,Clean a bicycle chain.
clean_a_birdcage,Clean a birdcage.
clean_a_blender,Clean a blender.
clean_a_book,Clean a book.
clean_a_bowling_ball,Clean a bowling ball.
clean_a_box_fan,Clean a box fan.
clean_a_broiler_pan,Clean a broiler pan.
clean_a_camera_lens,Clean a camera lens.
clean_a_candle_jar,Clean a candle jar.
clean_a_chicken_coop,Clean a chicken coop.
clean_a_coffee_maker,Clean a coffee maker.
clean_a_company_office,Clean a company office.
clean_a_computer_monitor,Clean a computer monitor.
clean_a_couch,Clean a couch.
clean_a_crab,Clean a crab.
clean_a_dirty_baseball,Clean a dirty baseball.
clean_a_dirty_tent,Clean a dirty tent.
clean_a_drain,Clean a drain.
clean_a_faucet,Clean a faucet.
clean_a_felt_pool_table_top,Clean a felt pool table top.
clean_a_fence,Clean a fence.
clean_a_fish,Clean a fish.
clean_a_flat_iron,Clean a flat iron.
clean_a_flat_panel_monitor,Clean a flat panel monitor.
clean_a_garden_sprayer,Clean a garden sprayer.
clean_a_glass_pipe,Clean a glass pipe.
clean_a_glass_windshield,Clean a glass windshield.
clean_a_golf_club,Clean a golf club.
clean_a_gravestone,Clean a gravestone.
clean_a_grill_pan,Clean a grill pan.
clean_a_guitar,Clean a guitar.
clean_a_hamper,Clean a hamper.
clean_a_hat,Clean a hat.
clean_a_hot_water_dispenser,Clean a hot water dispenser.
clean_a_keyboard,Clean a keyboard.
clean_a_kitchen_sink,Clean a kitchen sink.
clean_a_kitchen_table,Clean a kitchen table.
clean_a_knife,Clean a knife.
clean_a_knife_block,Clean a knife block.
clean_a_leather_belt,Clean a leather belt.
clean_a_light_bulb,Clean a light bulb.
clean_a_lobster,Clean a lobster.
clean_a_longboard,Clean a longboard.
clean_a_loofah_or_natural_sponge,Clean a loofah or natural sponge.
clean_a_mattress,Clean a mattress.
clean_a_mousepad,Clean a mousepad.
clean_a_patio,Clean a patio.
clean_a_piano,Clean a piano.
clean_a_pickup_truck,Clean a pickup truck.
clean_a_pizza_stone,Clean a pizza stone.
clean_a_popcorn_machine,Clean a popcorn machine.
clean_a_pumpkin,Clean a pumpkin.
clean_a_purse,Clean a purse.
clean_a_quilt,Clean a quilt.
clean_a_raincoat,Clean a raincoat.
clean_a_razor_blade,Clean a razor blade.
clean_a_rice_cooker,Clean a rice cooker.
clean_a_rug,Clean a rug.
clean_a_sauna,Clean a sauna.
clean_a_sauna_suit,Clean a sauna suit.
clean_a_saxophone,Clean a saxophone.
clean_a_shower,Clean a shower.
clean_a_sieve,Clean a sieve.
clean_a_small_pet_cage,Clean a small pet cage.
clean_a_sofa,Clean a sofa.
clean_a_softball_bat,Clean a softball bat.
clean_a_sponge,Clean a sponge.
clean_a_stainless_steel_dishwasher,Clean a stainless steel dishwasher.
clean_a_suitcase,Clean a suitcase.
clean_a_teddy_bear,Clean a teddy bear.
clean_a_tie,Clean a tie.
clean_a_toaster,Clean a toaster.
clean_a_toaster_oven,Clean a toaster oven.
clean_a_trombone,Clean a trombone.
clean_a_trumpet,Clean a trumpet.
clean_a_turkey,Clean a turkey.
clean_a_vacuum,Clean a vacuum.
clean_a_violin,Clean a violin.
clean_a_watch,Clean a watch.
clean_a_whiteboard,Clean a whiteboard.
clean_a_wood_pipe,Clean a wood pipe.
clean_an_air_filter,Clean an air filter.
clean_an_electric_kettle,Clean an electric kettle.
clean_an_electric_razor,Clean an electric razor.
clean_an_eraser,Clean an eraser.
clean_an_espresso_machine,Clean an espresso machine.
clean_an_iron,Clean an iron.
clean_an_office_chair,Clean an office chair.
clean_and_disinfect_ice_trays,Clean and disinfect ice trays.
clean_apples,Clean apples.
clean_baby_toys,Clean baby toys.
clean_baking_sheets,Clean baking sheets.
clean_batting_gloves,Clean batting gloves.
clean_black_rims,Clean black rims.
clean_bok_choy,Clean bok choy.
clean_boxing_gloves,Clean boxing gloves.
clean_brass,Clean brass.
clean_brass_casings,Clean brass casings.
clean_brooms,Clean brooms.
clean_cabbage,Clean cabbage.
clean_carpets,Clean carpets.
clean_cement,Clean cement.
clean_clams,Clean clams.
clean_clear_plastic,Clean clear plastic.
clean_conch_shells,Clean conch shells.
clean_copper_mugs,Clean copper mugs.
clean_copper_wire,Clean copper wire.
clean_cork_mats,Clean cork mats.
clean_couch_pillows,Clean couch pillows.
clean_cup_holders,Clean cup holders.
clean_cups,Clean cups.
clean_decking,Clean decking.
clean_deer_antlers,Clean deer antlers.
clean_dentures,Clean dentures.
clean_dentures_with_vinegar,Clean dentures with vinegar.
clean_dog_collars,Clean dog collars.
clean_eggs,Clean eggs.
clean_fishing_lures,Clean fishing lures.
clean_flip_flops,Clean flip flops.
clean_fur,Clean fur.
clean_garden_gloves,Clean garden gloves.
clean_gas_logs,Clean gas logs.
clean_geodes,Clean geodes.
clean_gold,Clean gold.
clean_gourds,Clean gourds.
clean_grease,Clean grease.
clean_green_beans,Clean green beans.
clean_greens,Clean greens.
clean_household_cleaning_tools,Clean household cleaning tools.
clean_invisalign,Clean invisalign.
clean_jade,Clean jade.
clean_jewels,Clean jewels.
clean_kitchen_appliances,Clean kitchen appliances.
clean_leather_boots,Clean leather boots.
clean_leather_sandals,Clean leather sandals.
clean_marker_off_a_doll,Clean marker off a doll.
clean_mirrors,Clean mirrors.
clean_mushrooms,Clean mushrooms.
clean_mussels,Clean mussels.
clean_nickel,Clean nickel.
clean_out_a_guinea_pigs_hutch,Clean out a guinea pig's hutch.
clean_outdoor_tiles,Clean outdoor tiles.
clean_oysters,Clean oysters.
clean_paper_lampshades,Clean paper lampshades.
clean_pearls,Clean pearls.
clean_pennies,Clean pennies.
clean_piano_keys,Clean piano keys.
clean_pine_cones,Clean pine cones.
clean_place_mats,Clean place mats.
clean_plastic_containers,Clean plastic containers.
clean_potatoes,Clean potatoes.
clean_pottery,Clean pottery.
clean_prawns,Clean prawns.
clean_quarters,Clean quarters.
clean_quartz,Clean quartz.
clean_raw_denim,Clean raw denim.
clean_reusable_shopping_bags,Clean reusable shopping bags.
clean_rubber,Clean rubber.
clean_rubber_bathmats,Clean rubber bathmats.
clean_scallops,Clean scallops.
clean_seashells,Clean seashells.
clean_sheets,Clean sheets.
clean_shrimp,Clean shrimp.
clean_silver_coins,Clean silver coins.
clean_skateboard_bearings,Clean skateboard bearings.
clean_snap_peas,Clean snap peas.
clean_snow_peas,Clean snow peas.
clean_soot_from_glass_lanterns,Clean soot from glass lanterns.
clean_stainless_steel_sinks,Clean stainless steel sinks.
clean_strawberries,Clean strawberries.
clean_stucco,Clean stucco.
clean_suede_gloves,Clean suede gloves.
clean_sunglasses,Clean sunglasses.
